PMB Code,PMB Description,Treatment Component,ICD10 Code,ICD10 Description ,Comments
BRAIN AND NERVOUS SYSTEM,,,,,
906A,"Acute generalised paralysis, including polio and Guillain-Barre",Medical management; ventilation and plasmapheresis,A80.0,"Acute paralytic poliomyelitis, vaccine-associated",
,,,A80.1,"Acute paralytic poliomyelitis, wild virus, imported",
,,,A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous",
,,,A80.3,"Acute paralytic poliomyelitis, other and unspecified",
,,,A80.9,"Acute poliomyelitis, unspecified",
,,,B91,Sequelae of poliomyelitis,
,,,G14,Postpolio syndrome,
,,,G61.0,Guillain-Barré syndrome,
,,,G61.1,Serum neuropathy,
,,,G61.8,Other inflammatory polyneuropathies,
,,,G61.9,"Inflammatory polyneuropathy, unspecified",
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G20,Parkinson's disease,
,,,G21.1,Other drug-induced secondary parkinsonism,
,,,G21.2,Secondary parkinsonism due to other external agents,
,,,G21.3,Postencephalitic parkinsonism,
,,,G21.4,Vascular parkinsonism ,
,,,G21.8,Other secondary parkinsonism,
,,,G21.9,"Secondary parkinsonism, unspecified",
,,,G22,Parkinsonism in diseases classified elsewhere,
,,,G23.0,Hallervorden-Spatz disease,
,,,G23.1,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],
,,,G23.2,Striatonigral degeneration,
,,,G23.8,Other specified degenerative diseases of basal ganglia,
,,,G23.9,"Degenerative disease of basal ganglia, unspecified",
,,,G24.0,Drug-induced dystonia,
,,,G24.1,Idiopathic familial dystonia,
,,,G24.2,Idiopathic nonfamilial dystonia,
,,,G24.3,Spasmodic torticollis,
,,,G24.4,Idiopathic orofacial dystonia,
,,,G24.8,Other dystonia,
,,,G24.9,Dystonia unspecified,
,,,G25.0,Essential tremor,
,,,G25.1,Drug-induced tremor,
,,,G25.2,Other specified forms of tremor,
,,,G25.3,Myoclonus,
,,,G25.4,Drug-induced chorea,
,,,G25.5,Other chorea,
,,,G25.6,Drug-induced tics and other tics of organic origin,
,,,G25.8,Other extrapyramidal and movement disorders - Other specified extrapyramidal and movement disorders,
,,,G25.9,Extrapyramidal and movement disorder unspecified,
,,,G26,Extrapyramidal and movement disorders in diseases classified elsewhere,
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C70.0,"Malignant neoplasm, cerebral meninges",
,,,C70.0+D63.0*,"Malignant neoplasm, cerebral meninges/Anaemia in neoplastic disease (C00-D48+)",
,,,C70.0+G13.0*,"Malignant neoplasm, cerebral meninges/Paraneoplastic neuromyopathy and neuropathy",
,,,C70.0+G13.1*,"Malignant neoplasm, cerebral meninges/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C70.1,"Malignant neoplasm, spinal meninges",
,,,C70.1+D63.0*,"Malignant neoplasm, spinal meninges/Anaemia in neoplastic disease (C00-D48+)",
,,,C70.1+G13.0*,"Malignant neoplasm, spinal meninges/Paraneoplastic neuromyopathy and neuropathy",
,,,C70.1+G13.1*,"Malignant neoplasm, spinal meninges/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C70.9,"Malignant neoplasm, meninges, unspecified",
,,,C70.9+D63.0*,"Malignant neoplasm, meninges, unspecified/Anaemia in neoplastic disease (C00-D48+)",
,,,C70.9+G13.0*,"Malignant neoplasm, meninges, unspecified/Paraneoplastic neuromyopathy and neuropathy",
,,,C70.9+G13.1*,"Malignant neoplasm, meninges, unspecified/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C71.0,"Malignant neoplasm, cerebrum except lobes and ventricles",
,,,C71.0+D63.0*,"Malignant neoplasm, cerebrum except lobes and ventricles/Anaemia in neoplastic disease (C00-D48+)",
,,,C71.0+G13.0*,"Malignant neoplasm, cerebrum except lobes and ventricles/Paraneoplastic neuromyopathy and neuropathy",
,,,C71.0+G13.1*,"Malignant neoplasm, cerebrum except lobes and ventricles/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C71.1,"Malignant neoplasm, frontal lobe",
,,,C71.1+D63.0*,"Malignant neoplasm, frontal lobe/Anaemia in neoplastic disease (C00-D48+)",
,,,C71.1+G13.0*,"Malignant neoplasm, frontal lobe/Paraneoplastic neuromyopathy and neuropathy",
,,,C71.1+G13.1*,"Malignant neoplasm, frontal lobe/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C71.2,"Malignant neoplasm, temporal lobe",
,,,C71.2+D63.0*,"Malignant neoplasm, temporal lobe/Anaemia in neoplastic disease (C00-D48+)",
,,,C71.2+G13.0*,"Malignant neoplasm, temporal lobe/Paraneoplastic neuromyopathy and neuropathy",
,,,C71.2+G13.1*,"Malignant neoplasm, temporal lobe/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C71.3,"Malignant neoplasm, parietal lobe",
,,,C71.3+D63.0*,"Malignant neoplasm, parietal lobe/Anaemia in neoplastic disease (C00-D48+)",
,,,C71.3+G13.0*,"Malignant neoplasm, parietal lobe/Paraneoplastic neuromyopathy and neuropathy",
,,,C71.3+G13.1*,"Malignant neoplasm, parietal lobe/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C71.4,"Malignant neoplasm, occipital lobe",
,,,C71.4+D63.0*,"Malignant neoplasm, occipital lobe/Anaemia in neoplastic disease (C00-D48+)",
,,,C71.4+G13.0*,"Malignant neoplasm, occipital lobe/Paraneoplastic neuromyopathy and neuropathy",
,,,C71.4+G13.1*,"Malignant neoplasm, occipital lobe/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C71.5,"Malignant neoplasm, cerebral ventricle",
,,,C71.5+D63.0*,"Malignant neoplasm, cerebral ventricle/Anaemia in neoplastic disease (C00-D48+)",
,,,C71.5+G13.0*,"Malignant neoplasm, cerebral ventricle/Paraneoplastic neuromyopathy and neuropathy",
,,,C71.5+G13.1*,"Malignant neoplasm, cerebral ventricle/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C71.6,"Malignant neoplasm, cerebellum",
,,,C71.6+D63.0*,"Malignant neoplasm, cerebellum/Anaemia in neoplastic disease (C00-D48+)",
,,,C71.6+G13.0*,"Malignant neoplasm, cerebellum/Paraneoplastic neuromyopathy and neuropathy",
,,,C71.6+G13.1*,"Malignant neoplasm, cerebellum/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C71.7,"Malignant neoplasm, brain stem",
,,,C71.7+D63.0*,"Malignant neoplasm, brain stem/Anaemia in neoplastic disease (C00-D48+)",
,,,C71.7+G13.0*,"Malignant neoplasm, brain stem/Paraneoplastic neuromyopathy and neuropathy",
,,,C71.7+G13.1*,"Malignant neoplasm, brain stem/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C71.8,"Malignant neoplasm, overlapping lesion of brain",
,,,C71.8+D63.0*,"Malignant neoplasm, overlapping lesion of brain/Anaemia in neoplastic disease (C00-D48+)",
,,,C71.8+G13.0*,"Malignant neoplasm, overlapping lesion of brain/Paraneoplastic neuromyopathy and neuropathy",
,,,C71.8+G13.1*,"Malignant neoplasm, overlapping lesion of brain/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C71.9,"Malignant neoplasm, brain, unspecified",
,,,C71.9+D63.0*,"Malignant neoplasm, brain, unspecified/Anaemia in neoplastic disease (C00-D48+)",
,,,C71.9+G13.0*,"Malignant neoplasm, brain, unspecified/Paraneoplastic neuromyopathy and neuropathy",
,,,C71.9+G13.1*,"Malignant neoplasm, brain, unspecified/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C72.0,"Malignant neoplasm, spinal cord",
,,,C72.0+D63.0*,"Malignant neoplasm, spinal cord/Anaemia in neoplastic disease (C00-D48+)",
,,,C72.0+G13.0*,"Malignant neoplasm, spinal cord/Paraneoplastic neuromyopathy and neuropathy",
,,,C72.0+G13.1*,"Malignant neoplasm, spinal cord/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C72.1,"Malignant neoplasm, cauda equina",
,,,C72.1+D63.0*,"Malignant neoplasm, cauda equina/Anaemia in neoplastic disease (C00-D48+)",
,,,C72.1+G13.0*,"Malignant neoplasm, cauda equina/Paraneoplastic neuromyopathy and neuropathy",
,,,C72.1+G13.1*,"Malignant neoplasm, cauda equina/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C72.2,"Malignant neoplasm, olfactory nerve",
,,,C72.2+D63.0*,"Malignant neoplasm, olfactory nerve/Anaemia in neoplastic disease (C00-D48+)",
,,,C72.2+G13.0*,"Malignant neoplasm, olfactory nerve/Paraneoplastic neuromyopathy and neuropathy",
,,,C72.2+G13.1*,"Malignant neoplasm, olfactory nerve/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C72.3,"Malignant neoplasm, optic nerve",
,,,C72.3+D63.0*,"Malignant neoplasm, optic nerve/Anaemia in neoplastic disease (C00-D48+)",
,,,C72.3+G13.0*,"Malignant neoplasm, optic nerve/Paraneoplastic neuromyopathy and neuropathy",
,,,C72.3+G13.1*,"Malignant neoplasm, optic nerve/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C72.4,"Malignant neoplasm, acoustic nerve",
,,,C72.4+D63.0*,"Malignant neoplasm, acoustic nerve/Anaemia in neoplastic disease (C00-D48+)",
,,,C72.4+G13.0*,"Malignant neoplasm, acoustic nerve/Paraneoplastic neuromyopathy and neuropathy",
,,,C72.4+G13.1*,"Malignant neoplasm, acoustic nerve/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C72.5,"Malignant neoplasm, other and unspecified cranial nerves",
,,,C72.5+D63.0*,"Malignant neoplasm, other and unspecified cranial nerves/Anaemia in neoplastic disease (C00-D48+)",
,,,C72.5+G13.0*,"Malignant neoplasm, other and unspecified cranial nerves/Paraneoplastic neuromyopathy and neuropathy",
,,,C72.5+G13.1*,"Malignant neoplasm, other and unspecified cranial nerves/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C72.8,"Malignant neoplasm, overlapping lesion of brain and other parts of central nervous system",
,,,C72.8+D63.0*,"Malignant neoplasm, overlapping lesion of brain and other parts of central nervous system/Anaemia in neoplastic disease (C00-D48+)",
,,,C72.8+G13.0*,"Malignant neoplasm, overlapping lesion of brain and other parts of central nervous system/Paraneoplastic neuromyopathy and neuropathy",
,,,C72.8+G13.1*,"Malignant neoplasm, overlapping lesion of brain and other parts of central nervous system/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C72.9,"Malignant neoplasm, central nervous system, unspecified",
,,,C72.9+D63.0*,"Malignant neoplasm, central nervous system, unspecified/Anaemia in neoplastic disease (C00-D48+)",
,,,C72.9+G13.0*,"Malignant neoplasm, central nervous system, unspecified/Paraneoplastic neuromyopathy and neuropathy",
,,,C72.9+G13.1*,"Malignant neoplasm, central nervous system, unspecified/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,C79.3,Secondary malignant neoplasm of brain and cerebral meninges,Expanatory Note Conditions apply
,,,C79.3+D63.0*,Secondary malignant neoplasm of brain and cerebral meninges/Anaemia in neoplastic disease (C00-D48+),Expanatory Note Conditions apply
,,,C79.3+G13.0*,Secondary malignant neoplasm of brain and cerebral meninges/Paraneoplastic neuromyopathy and neuropathy,Expanatory Note Conditions apply
,,,C79.3+G13.1*,Secondary malignant neoplasm of brain and cerebral meninges/Other systemic atrophy primarily affecting central nervous system in neoplastic disease,Expanatory Note Conditions apply
,,,D32.0,"Benign neoplasm, cerebral meninges",
,,,D32.0+D63.0*,"Benign neoplasm, cerebral meninges/Anaemia in neoplastic disease (C00-D48+)",
,,,D32.0+G13.0*,"Benign neoplasm, cerebral meninges/Paraneoplastic neuromyopathy and neuropathy",
,,,D32.0+G13.1*,"Benign neoplasm, cerebral meninges/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D32.1,"Benign neoplasm, spinal meninges",
,,,D32.1+D63.0*,"Benign neoplasm, spinal meninges/Anaemia in neoplastic disease (C00-D48+)",
,,,D32.1+G13.0*,"Benign neoplasm, spinal meninges/Paraneoplastic neuromyopathy and neuropathy",
,,,D32.1+G13.1*,"Benign neoplasm, spinal meninges/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D32.9,"Benign neoplasm, meninges, unspecified",
,,,D32.9+D63.0*,"Benign neoplasm, meninges, unspecified/Anaemia in neoplastic disease (C00-D48+)",
,,,D32.9+G13.0*,"Benign neoplasm, meninges, unspecified/Paraneoplastic neuromyopathy and neuropathy",
,,,D32.9+G13.1*,"Benign neoplasm, meninges, unspecified/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D33.0,"Benign neoplasm, brain, supratentorial",
,,,D33.0+D63.0*,"Benign neoplasm, brain, supratentorial/Anaemia in neoplastic disease (C00-D48+)",
,,,D33.0+G13.0*,"Benign neoplasm, brain, supratentorial/Paraneoplastic neuromyopathy and neuropathy",
,,,D33.0+G13.1*,"Benign neoplasm, brain, supratentorial/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D33.1,"Benign neoplasm, brain, infratentorial",
,,,D33.1+D63.0*,"Benign neoplasm, brain, infratentorial/Anaemia in neoplastic disease (C00-D48+)",
,,,D33.1+G13.0*,"Benign neoplasm, brain, infratentorial/Paraneoplastic neuromyopathy and neuropathy",
,,,D33.1+G13.1*,"Benign neoplasm, brain, infratentorial/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D33.2,"Benign neoplasm, brain, unspecified",
,,,D33.2+D63.0*,"Benign neoplasm, brain, unspecified/Anaemia in neoplastic disease (C00-D48+)",
,,,D33.2+G13.0*,"Benign neoplasm, brain, unspecified/Paraneoplastic neuromyopathy and neuropathy",
,,,D33.2+G13.1*,"Benign neoplasm, brain, unspecified/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D33.3,"Benign neoplasm, cranial nerves",
,,,D33.3+D63.0*,"Benign neoplasm, cranial nerves/Anaemia in neoplastic disease (C00-D48+)",
,,,D33.3+G13.0*,"Benign neoplasm, cranial nerves/Paraneoplastic neuromyopathy and neuropathy",
,,,D33.3+G13.1*,"Benign neoplasm, cranial nerves/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D33.4,"Benign neoplasm, spinal cord",
,,,D33.4+D63.0*,"Benign neoplasm, spinal cord/Anaemia in neoplastic disease (C00-D48+)",
,,,D33.4+G13.0*,"Benign neoplasm, spinal cord/Paraneoplastic neuromyopathy and neuropathy",
,,,D33.4+G13.1*,"Benign neoplasm, spinal cord/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D33.7,"Benign neoplasm, other specified parts of central nervous system",
,,,D33.7+D63.0*,"Benign neoplasm, other specified parts of central nervous system/Anaemia in neoplastic disease (C00-D48+)",
,,,D33.7+G13.0*,"Benign neoplasm, other specified parts of central nervous system/Paraneoplastic neuromyopathy and neuropathy",
,,,D33.7+G13.1*,"Benign neoplasm, other specified parts of central nervous system/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D33.9,"Benign neoplasm, central nervous system, unspecified",
,,,D33.9+D63.0*,"Benign neoplasm, central nervous system, unspecified/Anaemia in neoplastic disease (C00-D48+)",
,,,D33.9+G13.0*,"Benign neoplasm, central nervous system, unspecified/Paraneoplastic neuromyopathy and neuropathy",
,,,D33.9+G13.1*,"Benign neoplasm, central nervous system, unspecified/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D42.0,"Neoplasm of uncertain/unknown behaviour, cerebral meninges",
,,,D42.0+D63.0*,"Neoplasm of uncertain/unknown behaviour, cerebral meninges/Anaemia in neoplastic disease (C00-D48+)",
,,,D42.0+G13.0*,"Neoplasm of uncertain/unknown behaviour, cerebral meninges/Paraneoplastic neuromyopathy and neuropathy",
,,,D42.0+G13.1*,"Neoplasm of uncertain/unknown behaviour, cerebral meninges/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D42.1,"Neoplasm of uncertain/unknown behaviour, spinal meninges",
,,,D42.1+D63.0*,"Neoplasm of uncertain/unknown behaviour, spinal meninges/Anaemia in neoplastic disease (C00-D48+)",
,,,D42.1+G13.0*,"Neoplasm of uncertain/unknown behaviour, spinal meninges/Paraneoplastic neuromyopathy and neuropathy",
,,,D42.1+G13.1*,"Neoplasm of uncertain/unknown behaviour, spinal meninges/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D42.9,"Neoplasm of uncertain/unknown behaviour, meninges, unspecified",
,,,D42.9+D63.0*,"Neoplasm of uncertain/unknown behaviour, meninges, unspecified/Anaemia in neoplastic disease (C00-D48+)",
,,,D42.9+G13.0*,"Neoplasm of uncertain/unknown behaviour, meninges, unspecified/Paraneoplastic neuromyopathy and neuropathy",
,,,D42.9+G13.1*,"Neoplasm of uncertain/unknown behaviour, meninges, unspecified/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D43.0,"Neoplasm of uncertain/unknown behaviour, brain, supratentorial",
,,,D43.0+D63.0*,"Neoplasm of uncertain/unknown behaviour, brain, supratentorial/Anaemia in neoplastic disease (C00-D48+)",
,,,D43.0+G13.0*,"Neoplasm of uncertain/unknown behaviour, brain, supratentorial/Paraneoplastic neuromyopathy and neuropathy",
,,,D43.0+G13.1*,"Neoplasm of uncertain/unknown behaviour, brain, supratentorial/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D43.1,"Neoplasm of uncertain/unknown behaviour, brain, infratentorial",
,,,D43.1+D63.0*,"Neoplasm of uncertain/unknown behaviour, brain, infratentorial/Anaemia in neoplastic disease (C00-D48+)",
,,,D43.1+G13.0*,"Neoplasm of uncertain/unknown behaviour, brain, infratentorial/Paraneoplastic neuromyopathy and neuropathy",
,,,D43.1+G13.1*,"Neoplasm of uncertain/unknown behaviour, brain, infratentorial/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D43.2,"Neoplasm of uncertain/unknown behaviour, brain, unspecified",
,,,D43.2+D63.0*,"Neoplasm of uncertain/unknown behaviour, brain, unspecified/Anaemia in neoplastic disease (C00-D48+)",
,,,D43.2+G13.0*,"Neoplasm of uncertain/unknown behaviour, brain, unspecified/Paraneoplastic neuromyopathy and neuropathy",
,,,D43.2+G13.1*,"Neoplasm of uncertain/unknown behaviour, brain, unspecified/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D43.3,"Neoplasm of uncertain/unknown behaviour, cranial nerves",
,,,D43.3+D63.0*,"Neoplasm of uncertain/unknown behaviour, cranial nerves/Anaemia in neoplastic disease (C00-D48+)",
,,,D43.3+G13.0*,"Neoplasm of uncertain/unknown behaviour, cranial nerves/Paraneoplastic neuromyopathy and neuropathy",
,,,D43.3+G13.1*,"Neoplasm of uncertain/unknown behaviour, cranial nerves/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D43.4,"Neoplasm of uncertain/unknown behaviour, spinal cord",
,,,D43.4+D63.0*,"Neoplasm of uncertain/unknown behaviour, spinal cord/Anaemia in neoplastic disease (C00-D48+)",
,,,D43.4+G13.0*,"Neoplasm of uncertain/unknown behaviour, spinal cord/Paraneoplastic neuromyopathy and neuropathy",
,,,D43.4+G13.1*,"Neoplasm of uncertain/unknown behaviour, spinal cord/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D43.7,"Neoplasm of uncertain/unknown behaviour, other parts of central nervous system",
,,,D43.7+D63.0*,"Neoplasm of uncertain/unknown behaviour, other parts of central nervous system/Anaemia in neoplastic disease (C00-D48+)",
,,,D43.7+G13.0*,"Neoplasm of uncertain/unknown behaviour, other parts of central nervous system/Paraneoplastic neuromyopathy and neuropathy",
,,,D43.7+G13.1*,"Neoplasm of uncertain/unknown behaviour, other parts of central nervous system/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
,,,D43.9,"Neoplasm of uncertain/unknown behaviour, central nervous system, unspecified",
,,,D43.9+D63.0*,"Neoplasm of uncertain/unknown behaviour, central nervous system, unspecified/Anaemia in neoplastic disease (C00-D48+)",
,,,D43.9+G13.0*,"Neoplasm of uncertain/unknown behaviour, central nervous system, unspecified/Paraneoplastic neuromyopathy and neuropathy",
,,,D43.9+G13.1*,"Neoplasm of uncertain/unknown behaviour, central nervous system, unspecified/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
49A,Compound/ depressed fractures of skull,Craniotomy/ craniectomy,S02.00,"Fracture of vault of skull, closed",
,,,S02.01,"Fracture of vault of skull,open",
,,,S02.10,"Fracture of base of skull, closed",
,,,S02.11,"Fracture of base of skull, open",
,,,S02.70,"Multiple fractures involving skull and facial bones,closed",
,,,S02.71,"Multiple fractures involving skull and facial bones, open",
,,,S02.80,"Fractures of other skull and facial bones,closed",
